Producto_A,Codigo_A,Producto_B,Codigo_B,Soporte_Conjunto_%,Confianza_%,Lift,Soporte_A_%,Soporte_B_%
AJAX C TRICOLIN  REGU 250G,99176120889,MORTADELA CON TOCINO ZURQUI,7441008931867,0.0,20.0,3.52,0.02,0.05
DETERGENTE FORT 3 1250 GS PLUS,748928011905,MAYONESA LIZANO C/LIMON 100GRS,747627150038,0.01,20.0,3.52,0.03,0.05
Jabon geel olimpo 250 ml,7401006100733,NECTAR D PINOS PERA LITRO,7441001623042,0.0,20.0,3.52,0.02,0.05
TOALLA HUMEDA FRANELITAS 80 UDS,7406233000108,pastilla desinfectante blanko bouquet,7441005634198,0.0,7.14,3.52,0.05,0.02
TOALLA HUMEDA FRANELITAS 80 UDS,7406233000108,SOPA  MARUCHAN RES BOLSA 85GRS,41789002922,0.0,7.14,3.52,0.05,0.02
SALSA CHINA TIO PELON 170G,1196,SORBETO GALLITO FRESA 60 UDS,7441001646751,0.0,7.14,3.52,0.05,0.02
Encanto 3 pack toalla,7416502202423,ACEITE CLOVER SOYA 1.5 LTR,751963310711,0.0,20.0,3.52,0.02,0.05
BOLSA ZESTA JARDINERA NEGR PT5,806246110318,MARSHMALLOW STARS QUAKER 377G,803275000528,0.01,10.0,3.52,0.06,0.02
FANTA UVA 2.5 RP,7441003506534,quesitrix con  chile bolsa 19 g.,660756051383,0.0,10.0,3.52,0.03,0.02
GALLETA NATILLA MOANA,7443026750055,CAJETA ROMBOIDE DE LECHE 60 GS,7443006821744,0.0,14.29,3.52,0.02,0.03
GALLETA NATILLA MOANA,7443026750055,FANTA UVA 2.5 RP,7441003506534,0.0,14.29,3.52,0.02,0.03
LAVAPLATOS IREX  LIMON 250GRS,748928001265,frijol rojo .800 grs maximo Z,7441057502780,0.0,10.0,3.52,0.03,0.02
BOLSA ZESTA PEQUEÑA BLANC PTE9,806246110424,QUEQUITOS ZARCEREÑA X 9,7443000400365,0.0,14.29,3.52,0.02,0.03
FRIJOL BLANCO SUPER AMERIA 500G,276,TOALLA KOTEX NORM MANZANILLA 1X10,7441008155508,0.0,14.29,3.52,0.02,0.03
HONGOS NATURAS 210 GRS,7411000313978,vitamaiz  200 g.,7441031803032,0.0,14.29,3.52,0.02,0.03
saba diarios tradicional mregulaR  50 UN.,7501019040870,ZUKO MANZANA 13gr,7503037746116,0.0,14.29,3.52,0.02,0.03
ARTESANAS  COCO 100 GS,755111689995,GERBER MELOCOTON 100 GS,7501058642295,0.0,7.14,3.52,0.05,0.02
DETERGENTE FORT 3 1250 GS PLUS,748928011905,PAPEL HIGIENICO ENCANTO 1 x 4 CLASICO,7416502201587,0.0,10.0,3.52,0.03,0.02
ARTESANAS  COCO 100 GS,755111689995,papel aluminio 30m,9090400190006,0.0,7.14,3.52,0.05,0.02
ARTESANAS  COCO 100 GS,755111689995,SOPA MAGGI RES C/FIDEOS 60GRS,88169428903,0.01,14.29,3.52,0.05,0.03
Encanto 3 pack toalla,7416502202423,Frijol negro Don Pedro,7441037918044,0.01,40.0,3.52,0.02,0.09
HONGOS NATURAS 210 GRS,7411000313978,JABON PROTEX  ALOE,99176922384,0.0,14.29,3.52,0.02,0.03
palomitas tosty mantequilla,7441000719647,CANELA EN POLVO BADIA,33844000301,0.0,10.0,3.52,0.03,0.02
GELATINA DIET.X FRESA,7441005611878,rumba patacones 60 gs,7441000721121,0.0,10.0,3.52,0.03,0.02
CONSOME MAGGI COSTIL CRI LAM12,7613032343019,GALLETA YEMA POZUELO PTE/6,7441163400185,0.0,7.14,3.52,0.05,0.02
CONSOME MAGGI COSTIL CRI LAM12,7613032343019,roma ketchup doy pack 106 g,731701017324,0.0,7.14,3.52,0.05,0.02
CONSOME MAGGI COSTIL CRI LAM12,7613032343019,GERBER MELOCOTON 100 GS,7501058642295,0.0,7.14,3.52,0.05,0.02
ACHIOTE EN  PELOTA PEQUEÑO,260066,jabon tocador rexona avena 110 gs,7702006405669,0.0,7.14,3.52,0.05,0.02
CEREZA DIANA,748757005892,TUTTO LOVERS 80 GS,7702007072402,0.0,7.14,3.52,0.05,0.02
"4 pack ranchera, carne. hongos",7411000359112,DETERGENTE FORT 3 1250 GS PLUS,748928011905,0.0,14.29,3.52,0.02,0.03
CEREAL JACKS CHOKOS 170G,7441001000317,CANELON PETALO ROMA,731701015696,0.0,10.0,3.52,0.03,0.02
Frijol negro tiempo 800 g Z,7441006005188,DIP QUESO CHEDAR SIN PICANTE,796500002414,0.0,10.0,3.52,0.03,0.02
Frijol negro tiempo 800 g Z,7441006005188,JABON ANTIBACTERAL LIQUIDO 220 ML,7441010660298,0.0,10.0,3.52,0.03,0.02
CONSOME MAGGI COSTIL CRI LAM12,7613032343019,AVENA MOLIDA QUAKER 310G Z,803275305005,0.0,7.14,3.52,0.05,0.02
CONSOME MAGGI COSTIL CRI LAM12,7613032343019,CHIKY CHOC. 12,86581010881,0.0,7.14,3.52,0.05,0.02
XEDEX FRUTOS 500gr,7411000364994,LAVAPLATOS FRUTOS ROJOS PUM 1k,7443010583539,0.0,7.14,3.52,0.05,0.02
PASTA DENTAL COLGATE 100 ML.,7501035911031,Toallas 2 pack Magic,7406233301106,0.0,7.14,3.52,0.05,0.02
ROMA CARACOL PEQ 250G,731701001279,CAFE DORADO 2PACK,836778005967,0.02,12.82,3.51,0.13,0.03
ARROZ TIO PELON AZUL 80/20 3K Z,7441006011202,MANTECA CORONA  1KILO,751963230002,0.01,66.67,3.5,0.02,0.15
soda 8+2 pozuelo,7441163404619,AXION BARRA LIMON 250G,99176003489,0.02,7.04,3.47,0.23,0.02
MANTECA CLOVER 460G,751963212107,ARROZ TIO PELON 99% 4K Z,7441006002279,0.03,26.67,3.46,0.1,0.06
FRIJOL TOCORORO NEGRO 800 GRS,7441057503169,ORIX FLORAL 450G,748928006505,0.01,15.38,3.45,0.04,0.04
GALLETAQ MANTEQUILLA 100 UDS.,7441163405746,GALLETA COCANAS PAQ8 UNIDADES,7441163401786,0.01,15.38,3.45,0.04,0.04
BADIA PIMIENTA NEGRA MOL,33844000240,FRIJOL TOCORORO NEGRO 800 GRS,7441057503169,0.01,18.18,3.45,0.04,0.04
ZUKO MELON 13gr,7503037746215,ZUKO DURAZNO 13gr,7503037746109,0.01,15.38,3.45,0.04,0.04
PAPEL ALUMINIO ALUMINE 16 PIES,7441067604597,Te durazno tang 13g,7622202008450,0.01,36.36,3.45,0.04,0.08
DULCE TE 300 GRS,7441017910440,PAPAEL ALUMINIO POLIPAK 16 M. REP.,7441005624397,0.01,15.38,3.45,0.08,0.04
PASTILLA TERROR BUQUET 50 GS,748928000190,jabon zote  azul 200 blanco,7501026005381,0.0,11.11,3.42,0.03,0.03
leche doble proteina dp 360 g,7441001638589,ATUN MI SABOR ENTEROS EN AGUA,7441010606074,0.0,11.11,3.42,0.03,0.03
CONSOME DE POLLO MAGGUI 225G,7613032774134,POLLO ENTERO Z,348,0.0,16.67,3.42,0.02,0.04
POLLO ENTERO Z,348,ZUKO BEBIDA PERA 13gr,7503037746314,0.0,8.33,3.42,0.04,0.02
ZUKO NARANJA FRESA 13gr,7503037746178,ZUKO MORA 13gr,7503037746307,0.0,11.11,3.42,0.03,0.03
ALIMENTO PERRO CORDERO SUPE PERRO,7441007802908,CHOCOLATE JOCKEY ARROZ 45 GS,7441001634949,0.01,12.5,3.42,0.05,0.03
CONSOME SAZONADOR RES 12U,7613032343101,PASTILLA TERROR BUQUET 50 GS,748928000190,0.0,12.5,3.42,0.03,0.03
panadol sinusits alergias naranja,7451079003318,BANDEJA PLASTICA #6,632844,0.0,8.33,3.42,0.04,0.02
ACEITE CAPULLO SOYA  1/2 LTR,7441007204559,JABON PALMOLIVE LAVANDA 100gr,7509546683027,0.0,8.33,3.42,0.04,0.02
ATUN PRONTO TROZOS 2 PACKS,731701018048,JUGO NARANJA 100 %  250 ML.,7441001618956,0.01,16.67,3.42,0.06,0.04
MILKA YOGHUR 100GR,4025700001450,GOMITAS TUBO 30 GRS,7896451911582,0.0,16.67,3.42,0.02,0.04
PANADOL EXTRAFU ADUL DP/100,7451079000133,SPRITE 1.5 L.,7441003506770,0.0,8.33,3.42,0.04,0.02
PANADOL EXTRAFU ADUL DP/100,7451079000133,panadol sinusits alergias naranja,7451079003318,0.01,16.67,3.42,0.04,0.04
POLLO ENTERO Z,348,RINSO ROSAS Y LILAS 1500G,7411000384602,0.0,8.33,3.42,0.04,0.02
SCOTCH BRITE  DOBLE USO ANATOMICO,7441002703835,MAIZENA SABOR FRESA 45gr,7411000343777,0.0,16.67,3.42,0.02,0.04
SCOTCH BRITE  DOBLE USO ANATOMICO,7441002703835,POLLO ENTERO Z,348,0.0,16.67,3.42,0.02,0.04
MAIZENA SABOR FRESA 45gr,7411000343777,ZUKO BEBIDA PERA 13gr,7503037746314,0.0,8.33,3.42,0.04,0.02
MISION LIGH 10 UDS,7441000714888,CAJETA DE COCO ROMBO 108 GS,7443006822598,0.0,11.11,3.42,0.03,0.03
ZUKO TE DURAZNO 13gr,7503037746413,FRIJOL TOCORORO 800 GS ROJO,7441057503152,0.0,8.33,3.42,0.04,0.02
ATUN SARDIMAR TROCITOS 230,7441002639806,ATUN SARDIMAR JALAPEÑO 140 GS,7441002649386,0.0,12.5,3.42,0.03,0.03
ATUN SARDIMAR TROCITOS 230,7441002639806,"avena corazon inst, linaza",803275305593,0.0,12.5,3.42,0.03,0.03
AXION LIQUIDO 400 ML,7509546657684,BIZCOCHO ARTESANAL,7443031270357,0.0,16.67,3.42,0.02,0.04
BOLSA PLASTICA CAMISETA G-M-P.,53,BARRA SAN LUIS 200 G. AZUL,99176003496,0.01,25.0,3.42,0.03,0.06
POLLO ENTERO Z,348,GALLETA POZUELO CREMAS 12  U,86581005085,0.0,8.33,3.42,0.04,0.02
POLLO ENTERO Z,348,GELATINA ROYAL CEREZA 40G,7622300134051,0.0,8.33,3.42,0.04,0.02
POLLO ENTERO Z,348,3 Pack bacterion aloe,7443010584369,0.0,8.33,3.42,0.04,0.02
AXION LIQUIDO 400 ML,7509546657684,ESPONJA DOBLE USO CONSTRATE,757962010058,0.0,16.67,3.42,0.02,0.04
FRIJOLES MOLIDOS ROJOS SANTA CRUZ MEDIO 400G,796500000397,BOLSA BASURA MD,172,0.0,8.33,3.42,0.04,0.02
GALLETA MISABOR MANTEQUILLA 340 GS,7441010664272,PAPEL HIGIENICO ELITE 8ROLLO,7759185005234,0.0,11.11,3.42,0.03,0.03
GALLETA MISABOR MANTEQUILLA 340 GS,7441010664272,Semillas de chia 100g,7441094107368,0.0,11.11,3.42,0.03,0.03
GALLETA MISABOR MANTEQUILLA 340 GS,7441010664272,ATUN PRONTO TROZOS 354G,731701012022,0.0,11.11,3.42,0.03,0.03
MAIZENA SABOR FRESA 45gr,7411000343777,JUGOSA SARTEN HIERBAS,8585002432339,0.0,8.33,3.42,0.04,0.02
CHILE CERVANTENO NACHO 450 GS,7443033150206,CHILES JALAPEÑOS CERVANTÑOS 160 GS,7448304282587,0.0,12.5,3.42,0.03,0.03
MAIZENA SABOR FRESA 45gr,7411000343777,MOLSA GALLETA MARIA 1X12-,809552099896,0.0,8.33,3.42,0.04,0.02
MAIZENA SABOR FRESA 45gr,7411000343777,gerber de mango 113 gs,7501058642370,0.0,8.33,3.42,0.04,0.02
PAPAEL HIGIENICO SCOTT 1X12 DOBLE HOJA,7441008174967,LIZANO OFERTA MAYO-TOMATE,7411000387214,0.0,16.67,3.42,0.02,0.04
MANTEQUILLA IN LITE 210 G,7441001608186,LLUVIA P QUEQUE,7441094102271,0.0,12.5,3.42,0.03,0.03
YOGURT CORONADO MORA 1.8 LT.,7441013500669,GASILLAS SURTIDAS,7441094102738,0.0,16.67,3.42,0.02,0.04
YOGURT CORONADO MORA 1.8 LT.,7441013500669,FRIJOLES MOLIDOS ROJOS SANTA CRUZ MEDIO 400G,796500000397,0.0,16.67,3.42,0.02,0.04
AXION LIQUIDO 400 ML,7509546657684,PAPEL YUMBO ROLLO,7441010644465,0.01,50.0,3.42,0.02,0.12
PAPAEL HIGIENICO SCOTT 1X12 DOBLE HOJA,7441008174967,PAPEL ALUMINIO 25 PIESCUADRA EZWRAP,7441010606685,0.0,16.67,3.42,0.02,0.04
PAPAEL HIGIENICO SCOTT 1X12 DOBLE HOJA,7441008174967,TOALLA SABA BUEN/NOC E/L C/A 1X8,7501019006623,0.0,16.67,3.42,0.02,0.04
PAPAEL HIGIENICO SCOTT 1X12 DOBLE HOJA,7441008174967,FRIJOL MOLIDO STA CRUZ ROJO SIN PICA 400 GS,796500003572,0.0,16.67,3.42,0.02,0.04
BOLSA PLASTICA CAMISETA G-M-P.,53,ARROZ MR MAXIMO 95% 900G Z,7441057500533,0.0,12.5,3.42,0.03,0.03
BOLSA PLASTICA CAMISETA G-M-P.,53,BOLSA PLASTICA TRANSPARENTE 7X11-8X14,55,0.0,12.5,3.42,0.03,0.03
GALLETAS CHOKIS CHOCOMAX 90 GS,7501000604685,CHOKIS CLASICA 3*2 oferta,7500478008926,0.0,11.11,3.42,0.03,0.03
POP PALITOS MADERA,7501281200019,PAPEL ALUMINIO 25 PIESCUADRA EZWRAP,7441010606685,0.0,16.67,3.42,0.02,0.04
CONSOME SAZONADOR RES 12U,7613032343101,TOALLAS HUM CHOICE 80 UN,7441010607934,0.0,12.5,3.42,0.03,0.03
PANADOL EXTRAFU ADUL DP/100,7451079000133,"FULIDER CUADERNO COSIDO PEQ UNICOLOR 165X210,55G 50H 96/CJ",6604072010031,0.0,8.33,3.42,0.04,0.02
PANADOL EXTRAFU ADUL DP/100,7451079000133,suero naranja ancalmo,765446070412,0.0,8.33,3.42,0.04,0.02
PANADOL EXTRAFU ADUL DP/100,7451079000133,BANDEJA PLASTICA #6,632844,0.0,8.33,3.42,0.04,0.02
PAPEL ALUM. EZWRP 25 PIESCUADR.,7441010606692,BARRA SAN LUIS 200 G. AZUL,99176003496,0.01,25.0,3.42,0.03,0.06
PAPAEL HIGIENICO SCOTT 1X12 DOBLE HOJA,7441008174967,Leche pinito 1 Litro,7441001601118,0.01,50.0,3.42,0.02,0.12
BOLSA PLASTICA CAMISETA G-M-P.,53,SOPITA MAGGI,7613035371354,0.01,25.0,3.42,0.03,0.06
POLLO ENTERO Z,348,COMBO AHORRO CON FRIJOL NEGRO,7441057501790,0.0,8.33,3.42,0.04,0.02
POLLO ENTERO Z,348,gerber de mango 113 gs,7501058642370,0.0,8.33,3.42,0.04,0.02
YUCA PRO SALADAS 42.5 GS,7441005713824,LECHE C ONDENSADA LA CHERA ORIGINAL 395 GS,8445290342195,0.0,11.11,3.42,0.03,0.03
Terso Finos 400ml,7401001687147,ATOMIZADOR (88-82),8998510880828,0.0,12.5,3.42,0.03,0.03
Mini cucharas 25 u,9090900720000,LECHE CONDENSADA MISABOR 1K,7441010640221,0.0,8.33,3.42,0.04,0.02
EMPANADA DORADA CON DULCE LECHE EL VALLE,7443001260975,SOPA POLLO FIDEOS LIBRE GLUTEN 570 GS,7613287029522,0.01,12.5,3.42,0.05,0.03
MARIA INTEGRAL TUBO 168 G,7441163403438,Leche pinito 2pack,7441001629754,0.0,16.67,3.42,0.02,0.04
SOPA POLLO CON ARROZ,7613035361843,SALSA SOFRITO ROMA,731701014965,0.0,11.11,3.42,0.03,0.03
SALSA SOFRITO ROMA,731701014965,ATOMIZADOR (88-82),8998510880828,0.0,12.5,3.42,0.03,0.03
TAN PINA GUAYABA 130GS,7622202008542,splash BBB TROZOS EN ACEITE 230 G.,7441002653543,0.0,8.33,3.42,0.04,0.02
TAN PINA GUAYABA 130GS,7622202008542,PROTECTOR SABA LARGO 1X16,7501019068713,0.0,8.33,3.42,0.04,0.02
CHURRITOS DIANA 97 GS,748757000088,7 up 355 ml,764009010605,0.0,12.5,3.42,0.03,0.03
LIBRO SOPA DE LETRAS 0127-C 14X21CM 288/CJ,7689632101274,HONGOS TOÑOS 425GRS,796500002476,0.0,12.5,3.42,0.03,0.03
LIBRO SOPA DE LETRAS 0127-C 14X21CM 288/CJ,7689632101274,JUG. MUNECA BRAINROT ITALIANO 1PC 55622,6903556556226,0.0,12.5,3.42,0.03,0.03
ATUN MI SABOR ENTEROS EN AGUA,7441010606074,ATOMIZADOR (88-82),8998510880828,0.0,12.5,3.42,0.03,0.03
DOVE ORIGINAL 30ML,78931633,ARROZ TIO PELON 90% SELE 1.5kg,7441006003863,0.0,11.11,3.42,0.03,0.03
LECHE DESCREMADA 0% GRASA  LITRO z,7441001601156,PALITOS INTEGRALES COSECHA DORADA 40 GS,7443001141809,0.0,12.5,3.42,0.03,0.03
LECHE DESCREMADA 0% GRASA  LITRO z,7441001601156,SURF FUERZAS Y FLORES 450 G,7411000300619,0.0,12.5,3.42,0.03,0.03
LECHE DESCREMADA 0% GRASA  LITRO z,7441001601156,MI SABOR ARROZ + FRIJOL,7441010645134,0.0,12.5,3.42,0.03,0.03
LECHE DESCREMADA 0% GRASA  LITRO z,7441001601156,MASECA ESTRA SUAVE,7441000726966,0.0,12.5,3.42,0.03,0.03
POLLO ENTERO Z,348,ROMERO,7441094102509,0.0,8.33,3.42,0.04,0.02
"avena corazon inst, linaza",803275305593,FRIJOL NEGRO MISABOR 900 GS,7441010610170,0.0,11.11,3.42,0.03,0.03
DOVE ORIGINAL 30ML,78931633,ATUN MI SABOR ENTEROS EN AGUA,7441010606074,0.0,11.11,3.42,0.03,0.03
caja de salma con chia y linaza,7441029520781,LECHE DESCREMADA 0% GRASA  LITRO z,7441001601156,0.0,11.11,3.42,0.03,0.03
ALIMENTO PARA CONEJO ENGORDE 1K,7443007530430,ATOMIZADOR (88-82),8998510880828,0.0,12.5,3.42,0.03,0.03
DOVE ORIGINAL 30ML,78931633,PAN TOSTADO BIMBO 14 UDS,7441029500400,0.0,11.11,3.42,0.03,0.03
PAPEL ALUM. EZWRP 25 PIESCUADR.,7441010606692,ARROZ MR MAXIMO 95% 900G Z,7441057500533,0.0,12.5,3.42,0.03,0.03
PAPEL ALUM. EZWRP 25 PIESCUADR.,7441010606692,AZUCAR JUAN VIÑAS 2KILOS,7441036101225,0.0,12.5,3.42,0.03,0.03
YOGURT TOPING GUAYABITA,7441001630118,Merendina Gatito Unidad,86581311186,0.0,8.33,3.42,0.04,0.02
YOGURT TOPING GUAYABITA,7441001630118,MINI PPLUMITAS QUESO 200 GS,731701017614,0.0,8.33,3.42,0.04,0.02
CHILES JALAPEÑOS CERVANTÑOS 160 GS,7448304282587,Naranjilla colombiana malla,563,0.0,11.11,3.42,0.03,0.03
MAGDALENA DEL VALLE 1X8,7443001260630,"avena corazon inst, linaza",803275305593,0.01,12.5,3.42,0.05,0.03
ATUN MI SABOR ENTEROS EN AGUA,7441010606074,MAYONESA LIZANO NATURAL 200GRS,747627150045,0.0,12.5,3.42,0.03,0.03
ATUN MI SABOR ENTEROS EN AGUA,7441010606074,SOPA POLLO FIDEOS LIBRE GLUTEN 570 GS,7613287029522,0.0,12.5,3.42,0.03,0.03
maseca extra suave libre de gluten 500 gs,7441000728212,Zote rosa 100g,7501026005985,0.0,11.11,3.42,0.03,0.03
PRINGLES QUESO 124 G.,38000184956,SALSA CHUNKY S CRUZ MEDIO 250 FLE,796500000267,0.0,16.67,3.42,0.02,0.04
MASA DOÑAREPA MAIZ BLANCO 1KIL,7702020211086,PETIT POIS TOÑOS 590GRS,796500001356,0.0,11.11,3.42,0.03,0.03
Terso Finos 400ml,7401001687147,MAYONESA LIZANO NATURAL 200GRS,747627150045,0.0,12.5,3.42,0.03,0.03
VAINOL ANCLA 120ML,7441002004208,BOLSA PLASTICA TRANSPARENTE 7X11-8X14,55,0.0,12.5,3.42,0.03,0.03
CABITOS DE AJO NUMAR CJT4,751963121003,SOPA POLLO CON ARROZ,7613035361843,0.0,12.5,3.42,0.03,0.03
Terso Finos 400ml,7401001687147,SOPA POLLO FIDEOS LIBRE GLUTEN 570 GS,7613287029522,0.0,12.5,3.42,0.03,0.03
JABON REXONA LIMPIEZA PROFUNDA,7702006405690,ARROZ TIO PELON ROJO 91%  1.800 GRS Z,7441006022383,0.0,16.67,3.42,0.02,0.04
CUPCAKE PASAS,7441029504866,GALLETA MANTEQUILLA UNI,86581017316,0.0,8.33,3.42,0.04,0.02
CUPCAKE PASAS,7441029504866,Merendina Gatito Unidad,86581311186,0.0,8.33,3.42,0.04,0.02
HELADO CHOCO CHIPS 1/4 G D.P.,7441001609633,REFRESCO TROPICAL TE-MELOC2.5M,764009002440,0.0,11.11,3.42,0.03,0.03
BIZCOCHO PALMAREÑOS 175 GM.,7441155901539,CANADA DRY LATA 237ML,7441003560321,0.0,16.67,3.42,0.02,0.04
BOLSA BASURA MD,172,ARROZ TIO PELON ROJO 91%  1.800 GRS Z,7441006022383,0.0,16.67,3.42,0.02,0.04
"avena corazon inst, linaza",803275305593,jabon zote azul 400 gs,7501026005404,0.0,11.11,3.42,0.03,0.03
ARROZ TIO PELON ROJO 91%  1.800 GRS Z,7441006022383,UNOX 900 G,7411000385999,0.0,8.33,3.42,0.04,0.02
ARROZ TIO PELON ROJO 91%  1.800 GRS Z,7441006022383,rinsa atibacterial 1500 grs,7411000329634,0.0,8.33,3.42,0.04,0.02
ARROZ TIO PELON ROJO 91%  1.800 GRS Z,7441006022383,PASTILLA DESINF. BLANCO FLORAL 60 GS,7441005634204,0.0,8.33,3.42,0.04,0.02
ARROZ TIO PELON ROJO 91%  1.800 GRS Z,7441006022383,ARROZ TIO PELON ROJO 91% 3K,7441006022307,0.0,8.33,3.42,0.04,0.02
ARROZ TIO PELON ROJO 91%  1.800 GRS Z,7441006022383,papel higienico NEVAX ECONOMAX OFERTA 4+2 GRATIS,7441057268105,0.0,8.33,3.42,0.04,0.02
ARROZ TIO PELON ROJO 91%  1.800 GRS Z,7441006022383,BANDEJA PLASTICA #6,632844,0.0,8.33,3.42,0.04,0.02
ZUKO BEBIDA PERA 13gr,7503037746314,Leche pinito 2pack,7441001629754,0.0,16.67,3.42,0.02,0.04
LECHE CONDEN ANGEL BOLSA 385G,7441004100083,PALITOS INTEGRALES COSECHA DORADA 40 GS,7443001141809,0.0,12.5,3.42,0.03,0.03
FOSFOROS QUEZAL 1X10,7452100250077,PETIT POIS TOÑOS 590GRS,796500001356,0.01,11.11,3.42,0.06,0.03
Paleta tornado,7441134017206,TAQUERITOS EXTREMO QUESO FUSIÓN 190G,750894609499,0.0,16.67,3.42,0.02,0.04
BOLSA DE REGALO M,6811237527147,PAN TOSTADO BIMBO 14 UDS,7441029500400,0.0,11.11,3.42,0.03,0.03
CHOCOLITO FRESA 30 GS,7702007008036,LEGO STICH SD326QD3860155           2WC8-240,5678900117101,0.0,8.33,3.42,0.04,0.02
TOSH MARIA SIN AZUCAR 8PAQ,7441163415998,PAN TOSTADO BIMBO 14 UDS,7441029500400,0.0,11.11,3.42,0.03,0.03
FIDEO ROMA CARACOL MED 250G,731701001286,ZUKO TE DURAZNO 13gr,7503037746413,0.0,16.67,3.42,0.02,0.04
FIDEO ROMA CARACOL MED 250G,731701001286,HIGIENICO IDEAL 1X6,7441010603417,0.0,16.67,3.42,0.02,0.04
JUGO D PINOS UVA 100%LITRO,7441001619243,PROTECTOR SABA LARGO 1X16,7501019068713,0.0,8.33,3.42,0.04,0.02
JUGO D PINOS UVA 100%LITRO,7441001619243,rinsa atibacterial 1500 grs,7411000329634,0.0,8.33,3.42,0.04,0.02
JUGO D PINOS UVA 100%LITRO,7441001619243,SCOTCH BRITE VERDE,7401004000028,0.0,8.33,3.42,0.04,0.02
JUGO D PINOS UVA 100%LITRO,7441001619243,3 Pack bacterion aloe,7443010584369,0.0,8.33,3.42,0.04,0.02
MUSLITO DE POLLO LA GRANJA 4 UDS,7441001638640,CONO DELEITE,7441001607998,0.0,11.11,3.42,0.03,0.03
CAFE CAPPUCCINO MELATTE 250 ML,7441001644825,arrollado dulce de leche pozuelo,7441163413024,0.0,11.11,3.42,0.03,0.03
CAFE CAPPUCCINO MELATTE 250 ML,7441001644825,Zote rosa 100g,7501026005985,0.0,11.11,3.42,0.03,0.03
CEREAL FRUTY ONS 22 GS,803275306347,JUGO NARANJA 100 %  250 ML.,7441001618956,0.0,16.67,3.42,0.02,0.04
frijol rojo pelon 800 grs Z,7441006005195,SOFRITO NATURAS  106G,7411000344774,0.0,11.11,3.42,0.03,0.03
frijol rojo pelon 800 grs Z,7441006005195,(174974) PH SCOTT DOBLE HIG 2P REG 8X6X245,7441008174974,0.0,11.11,3.42,0.03,0.03
TORTILLA ILUSION LIMON Y PIMIENTA 125 GS,7441031603144,ZERO UVA 591 ML,49000050745,0.0,16.67,3.42,0.02,0.04
Jabon Zotye blanco 400 gs,7501026005374,CABITOS DE AJO NUMAR CJT4,751963121003,0.0,11.11,3.42,0.03,0.03
3 Pack bacterion aloe,7443010584369,Leche pinito 2pack,7441001629754,0.0,16.67,3.42,0.02,0.04
FRESCAVENA QUAKER FRESA 350GRS,803275300536,GOMITAS TUBO 30 GRS,7896451911582,0.0,16.67,3.42,0.02,0.04
SCOTCH BRITE VERDE,7401004000028,TOALLA SABA BUEN/NOC E/L C/A 1X8,7501019006623,0.0,16.67,3.42,0.02,0.04
CERVEZA HEINEKEN 330 ML VIDRIO,72890006196,Papel coreano,1018,0.0,16.67,3.42,0.02,0.04
GELATINA ROYAL CEREZA 40G,7622300134051,Leche pinito 2pack,7441001629754,0.0,16.67,3.42,0.02,0.04
TROPICAL DE MANZANA 2.5 L,764009048691,CHICHARITOS 75G,7441001004841,0.0,8.33,3.42,0.04,0.02
TROPICAL DE MANZANA 2.5 L,764009048691,GALLETA POZUELO CHIKY TUBO,86581010980,0.0,8.33,3.42,0.04,0.02
PALITOS INTEGRALES COSECHA DORADA 40 GS,7443001141809,jabon zote  azul 200 blanco,7501026005381,0.0,11.11,3.42,0.03,0.03
PROTEX BALANCE,99176922261,TOALLAS HUM CHOICE 80 UN,7441010607934,0.01,12.5,3.42,0.05,0.03
PROTEX BALANCE,99176922261,MEZCLA LIO TE MELOCO 500G,856248000940,0.01,12.5,3.42,0.05,0.03
gerber de mango 113 gs,7501058642370,Leche pinito 2pack,7441001629754,0.0,16.67,3.42,0.02,0.04
MEDIAS NAVIDAD,280048,JUG. MUNECO STITCH 1PC 51367-1,8998513670013,0.0,11.11,3.42,0.03,0.03
ACEITE CAPULLO 900 ML OFERTA,7441007201190,PASTA ORIGINAL 100 ML. Z,7501035911086,0.01,25.0,3.42,0.03,0.06
ACEITE CAPULLO 900 ML OFERTA,7441007201190,BACTEX ELIMINA BACTERIAS,7509546675053,0.01,25.0,3.42,0.03,0.06
ACEITE CAPULLO 900 ML OFERTA,7441007201190,Vanish  blanco 100 gs,7702626214870,0.0,12.5,3.42,0.03,0.03
BARRA CERAL FRUTAL MANZANA Y TE VERDE JACKS,7441001002564,BARRA FRUTAL CITRICO 27 G,7441001002823,0.0,12.5,3.42,0.03,0.03
BARRA NARANJA JACKS,7441001006234,BARRA GRANOLA MIEL,7441001000966,0.01,11.11,3.42,0.06,0.03
TOSH MARIA SIN AZUCAR 8PAQ,7441163415998,CABITOS DE AJO NUMAR CJT4,751963121003,0.0,11.11,3.42,0.03,0.03
RINSO ROSAS Y LILAS 1500G,7411000384602,PALLILLOS DUCES ZARCEREÑA,7443000400082,0.0,16.67,3.42,0.02,0.04
ACEITE CLOVER SOYA 3 LTR,751963311619,MAYONESA HELLMANNS SANDWICH 200G,7411000308936,0.0,16.67,3.42,0.02,0.04
ACEITE CLOVER SOYA 3 LTR,751963311619,PALLILLOS DUCES ZARCEREÑA,7443000400082,0.0,16.67,3.42,0.02,0.04
MIEL DE ABEJA 180GS MONDAIZA,730345004042,MEZCLA LIO TE MELOCO 500G,856248000940,0.0,12.5,3.42,0.03,0.03
